event,occurrence,microseconds
dataset_materialize,1,1645
dataset_prepare,1,3203
load_predict_batch,1,15775
load_predict_batch,2,12452
load_predict_batch,3,9609
load_predict_batch,4,8593
load_predict_batch,5,8982
load_predict_batch,6,9066
load_predict_batch,7,14014
load_predict_batch,8,9487
load_predict_batch,9,8659
load_predict_batch,10,8954
load_predict_batch,11,9553
load_predict_batch,12,8842
load_predict_batch,13,9146
load_predict_batch,14,9734
load_predict_batch,15,9069
load_predict_batch,16,9393
load_predict_batch,17,9042
load_predict_batch,18,9033
load_predict_batch,19,9515
load_predict_batch,20,8854
load_predict_batch,21,9375
load_predict_batch,22,8802
load_predict_batch,23,9408
load_predict_batch,24,9336
load_predict_batch,25,9079
load_predict_batch,26,9102
load_predict_batch,27,9440
load_predict_batch,28,9806
load_predict_batch,29,9712
load_predict_batch,30,9013
load_predict_batch,31,9366
load_predict_batch,32,9205
load_predict_batch,33,9391
load_predict_batch,34,9508
load_predict_batch,35,9259
load_predict_batch,36,8893
load_predict_batch,37,9353
load_predict_batch,38,8967
load_predict_batch,39,9490
load_predict_batch,40,9595
load_predict_batch,41,9612
load_predict_batch,42,9873
load_predict_batch,43,9551
load_predict_batch,44,9199
load_predict_batch,45,9078
load_predict_batch,46,9162
load_predict_batch,47,9433
load_predict_batch,48,9077
load_predict_batch,49,9383
load_predict_batch,50,9330
load_predict_batch,51,9082
load_predict_batch,52,9206
load_predict_batch,53,9178
load_predict_batch,54,9107
load_predict_batch,55,8896
load_predict_batch,56,9356
load_predict_batch,57,9620
load_predict_batch,58,9076
load_predict_batch,59,9059
load_predict_batch,60,9520
load_predict_batch,61,9476
load_predict_batch,62,8867
load_predict_batch,63,9092
load_predict_batch,64,9597
load_predict_batch,65,8868
load_predict_batch,66,9186
load_predict_batch,67,9506
load_predict_batch,68,9418
load_predict_batch,69,9217
load_predict_batch,70,9159
load_predict_batch,71,9054
load_predict_batch,72,9283
load_predict_batch,73,9824
load_predict_batch,74,9017
load_predict_batch,75,9417
load_predict_batch,76,8845
load_predict_batch,77,9436
load_predict_batch,78,9682
load_predict_batch,79,9543
load_predict_batch,80,9469
load_predict_batch,81,9182
load_predict_batch,82,9332
load_predict_batch,83,9539
load_predict_batch,84,9050
load_predict_batch,85,9345
load_predict_batch,86,9040
load_predict_batch,87,9687
load_predict_batch,88,9197
load_predict_batch,89,9047
load_predict_batch,90,8776
load_predict_batch,91,9113
load_predict_batch,92,9754
load_predict_batch,93,8955
load_predict_batch,94,9256
load_predict_batch,95,9158
load_predict_batch,96,9185
load_predict_batch,97,8996
load_predict_batch,98,9148
load_predict_batch,99,9023
load_predict_batch,100,9263
load_predict_batch,101,9510
load_predict_batch,102,9058
load_predict_batch,103,9578
load_predict_batch,104,9177
load_predict_batch,105,9795
load_predict_batch,106,10015
load_predict_batch,107,9627
load_predict_batch,108,9065
load_predict_batch,109,8886
load_predict_batch,110,9021
load_predict_batch,111,9442
load_predict_batch,112,9634
load_predict_batch,113,9566
load_predict_batch,114,9318
load_predict_batch,115,9555
load_predict_batch,116,9501
load_predict_batch,117,9182
load_predict_batch,118,9246
load_predict_batch,119,9542
load_predict_batch,120,9058
load_predict_batch,121,9433
load_predict_batch,122,9493
load_predict_batch,123,9711
load_predict_batch,124,9689
load_predict_batch,125,9832
load_predict_batch,126,9144
load_predict_batch,127,9459
load_predict_batch,128,9200
load_predict_batch,129,9302
load_predict_batch,130,9181
load_predict_batch,131,9524
load_predict_batch,132,9332
load_predict_batch,133,9513
load_predict_batch,134,8919
load_predict_batch,135,9541
load_predict_batch,136,9710
load_predict_batch,137,9511
load_predict_batch,138,8941
load_predict_batch,139,8844
load_predict_batch,140,9017
load_predict_batch,141,9716
load_predict_batch,142,9689
load_predict_batch,143,9664
load_predict_batch,144,9460
load_predict_batch,145,14383
load_predict_batch,146,12336
load_predict_batch,147,9094
load_predict_batch,148,9713
load_predict_batch,149,8950
load_predict_batch,150,6853
load_predict_batch,151,10051
load_predict_batch,152,9296
load_predict_batch,153,9185
load_predict_batch,154,8590
load_predict_batch,155,6641
load_predict_batch,156,6463
load_predict_batch,157,7103
load_predict_batch,158,8355
load_predict_batch,159,9810
load_predict_batch,160,8898
load_predict_batch,161,8093
load_predict_batch,162,6347
load_predict_batch,163,8549
load_predict_batch,164,7437
load_predict_batch,165,9345
load_predict_batch,166,6919
load_predict_batch,167,6810
load_predict_batch,168,9821
load_predict_batch,169,9634
load_predict_batch,170,9260
load_predict_batch,171,9040
load_predict_batch,172,9274
load_predict_batch,173,9196
load_predict_batch,174,9255
load_predict_batch,175,9564
load_predict_batch,176,9055
load_predict_batch,177,8831
load_predict_batch,178,8935
load_predict_batch,179,9146
load_predict_batch,180,8924
load_predict_batch,181,8331
load_predict_batch,182,9208
load_predict_batch,183,9350
load_predict_batch,184,9227
load_predict_batch,185,11668
load_predict_batch,186,9773
load_predict_batch,187,9722
load_predict_batch,188,9627
load_predict_batch,189,8517
load_predict_batch,190,8749
load_predict_batch,191,9079
load_predict_batch,192,9253
load_predict_batch,193,9236
load_predict_batch,194,8454
load_predict_batch,195,8973
load_predict_batch,196,9341
load_predict_batch,197,9386
load_predict_batch,198,9099
load_predict_batch,199,9102
load_predict_batch,200,9324
load_predict_batch,201,9077
load_predict_batch,202,9095
load_predict_batch,203,8626
load_predict_batch,204,8410
load_predict_batch,205,9267
load_predict_batch,206,9225
load_predict_batch,207,9304
load_predict_batch,208,9437
load_predict_batch,209,9083
load_predict_batch,210,8485
load_predict_batch,211,9404
load_predict_batch,212,9225
load_predict_batch,213,8772
load_predict_batch,214,9047
load_predict_batch,215,9250
load_predict_batch,216,9172
load_predict_batch,217,9146
load_predict_batch,218,8918
load_predict_batch,219,9292
load_predict_batch,220,9589
load_predict_batch,221,9161
load_predict_batch,222,8885
load_predict_batch,223,8668
load_predict_batch,224,8928
load_predict_batch,225,9564
load_predict_batch,226,9225
load_predict_batch,227,9719
load_predict_batch,228,9099
load_predict_batch,229,9141
load_predict_batch,230,9177
load_predict_batch,231,8709
load_predict_batch,232,8403
load_predict_batch,233,9025
load_predict_batch,234,9292
load_predict_batch,235,8808
load_predict_batch,236,8769
load_predict_batch,237,9130
load_predict_batch,238,9156
load_predict_batch,239,9216
load_predict_batch,240,9032
load_predict_batch,241,9234
load_predict_batch,242,8866
load_predict_batch,243,9647
load_predict_batch,244,9491
load_predict_batch,245,8640
load_predict_batch,246,9544
load_predict_batch,247,9367
load_predict_batch,248,9497
load_predict_batch,249,9116
load_predict_batch,250,9664
load_predict_batch,251,9138
load_predict_batch,252,9495
load_predict_batch,253,9202
load_predict_batch,254,9675
load_predict_batch,255,9276
load_predict_batch,256,9336
load_predict_batch,257,8995
load_predict_batch,258,9792
load_predict_batch,259,9010
load_predict_batch,260,9850
load_predict_batch,261,10011
load_predict_batch,262,9626
load_predict_batch,263,10076
load_predict_batch,264,9366
load_predict_batch,265,9751
load_predict_batch,266,10258
load_predict_batch,267,10557
load_predict_batch,268,9942
load_predict_batch,269,6509
load_predict_batch,270,9280
load_predict_batch,271,10605
load_predict_batch,272,8694
load_predict_batch,273,9802
load_predict_batch,274,9596
load_predict_batch,275,9855
load_predict_batch,276,9754
load_predict_batch,277,9237
load_predict_batch,278,9082
load_predict_batch,279,9218
load_predict_batch,280,9042
load_predict_batch,281,9526
load_predict_batch,282,9164
load_predict_batch,283,8856
load_predict_batch,284,9721
load_predict_batch,285,9534
load_predict_batch,286,9022
load_predict_batch,287,9604
load_predict_batch,288,8984
load_predict_batch,289,8494
load_predict_batch,290,9685
load_predict_batch,291,9518
load_predict_batch,292,9510
load_predict_batch,293,9155
load_predict_batch,294,9421
load_predict_batch,295,9107
load_predict_batch,296,9522
load_predict_batch,297,9384
load_predict_batch,298,8730
load_predict_batch,299,9223
load_predict_batch,300,9786
load_predict_batch,301,9207
load_predict_batch,302,9489
load_predict_batch,303,10050
load_predict_batch,304,9953
load_predict_batch,305,9158
load_predict_batch,306,9482
load_predict_batch,307,9387
load_predict_batch,308,9570
load_predict_batch,309,9127
load_predict_batch,310,9217
load_predict_batch,311,9500
load_predict_batch,312,8962
load_predict_batch,313,8269
load_predict_batch,314,9630
load_predict_batch,315,9409
load_predict_batch,316,9534
load_predict_batch,317,9145
load_predict_batch,318,9783
load_predict_batch,319,8976
load_predict_batch,320,9434
load_predict_batch,321,9329
load_predict_batch,322,8666
load_predict_batch,323,8942
load_predict_batch,324,9473
load_predict_batch,325,8730
load_predict_batch,326,9359
load_predict_batch,327,9057
load_predict_batch,328,9508
load_predict_batch,329,8973
load_predict_batch,330,9416
load_predict_batch,331,9398
load_predict_batch,332,9505
load_predict_batch,333,8978
load_predict_batch,334,9230
load_predict_batch,335,9536
load_predict_batch,336,9220
load_predict_batch,337,857
load_train_batch,1,4661
load_train_batch,2,4429
load_train_batch,3,4467
load_train_batch,4,4478
load_train_batch,5,1631
load_train_batch,6,4716
load_train_batch,7,1703
load_train_batch,8,1784
load_train_batch,9,1693
load_train_batch,10,1690
load_train_batch,11,1585
load_train_batch,12,1708
load_train_batch,13,1696
load_train_batch,14,1678
load_train_batch,15,1797
load_train_batch,16,1810
load_train_batch,17,1824
load_train_batch,18,1638
load_train_batch,19,1642
load_train_batch,20,1662
load_train_batch,21,1679
load_train_batch,22,1652
load_train_batch,23,1667
load_train_batch,24,1656
load_train_batch,25,1838
load_train_batch,26,1899
load_train_batch,27,1648
load_train_batch,28,1687
load_train_batch,29,1668
load_train_batch,30,1648
load_train_batch,31,1793
load_train_batch,32,1751
load_train_batch,33,3746
load_train_batch,34,3531
load_train_batch,35,3719
load_train_batch,36,1743
load_train_batch,37,1719
load_train_batch,38,1675
