event,occurrence,microseconds
dataset_materialize,1,2015
dataset_prepare,1,3588
load_predict_batch,1,8233
load_predict_batch,2,3879
load_predict_batch,3,11114
load_predict_batch,4,11935
load_predict_batch,5,11724
load_predict_batch,6,7423
load_predict_batch,7,8888
load_predict_batch,8,9503
load_predict_batch,9,10101
load_predict_batch,10,9667
load_predict_batch,11,9359
load_predict_batch,12,9432
load_predict_batch,13,9789
load_predict_batch,14,15780
load_predict_batch,15,8303
load_predict_batch,16,12250
load_predict_batch,17,10732
load_predict_batch,18,13037
load_predict_batch,19,12427
load_predict_batch,20,9765
load_predict_batch,21,13627
load_predict_batch,22,9369
load_predict_batch,23,17879
load_predict_batch,24,8941
load_predict_batch,25,14180
load_predict_batch,26,9284
load_predict_batch,27,15558
load_predict_batch,28,9123
load_predict_batch,29,20820
load_predict_batch,30,8976
load_predict_batch,31,15508
load_predict_batch,32,9121
load_predict_batch,33,15544
load_predict_batch,34,9028
load_predict_batch,35,19812
load_predict_batch,36,9013
load_predict_batch,37,16668
load_predict_batch,38,9342
load_predict_batch,39,16684
load_predict_batch,40,9175
load_predict_batch,41,15994
load_predict_batch,42,9541
load_predict_batch,43,16220
load_predict_batch,44,9434
load_predict_batch,45,16430
load_predict_batch,46,9827
load_predict_batch,47,17315
load_predict_batch,48,15463
load_predict_batch,49,9521
load_predict_batch,50,15095
load_predict_batch,51,13638
load_predict_batch,52,9144
load_predict_batch,53,15565
load_predict_batch,54,9068
load_predict_batch,55,18898
load_predict_batch,56,9124
load_predict_batch,57,17275
load_predict_batch,58,9341
load_predict_batch,59,16746
load_predict_batch,60,8890
load_predict_batch,61,18364
load_predict_batch,62,15614
load_predict_batch,63,14292
load_predict_batch,64,13782
load_predict_batch,65,16537
load_predict_batch,66,8888
load_predict_batch,67,15782
load_predict_batch,68,15130
load_predict_batch,69,8483
load_predict_batch,70,9800
load_predict_batch,71,16455
load_predict_batch,72,9824
load_predict_batch,73,15507
load_predict_batch,74,9215
load_predict_batch,75,15132
load_predict_batch,76,14277
load_predict_batch,77,9518
load_predict_batch,78,15261
load_predict_batch,79,14697
load_predict_batch,80,9810
load_predict_batch,81,15872
load_predict_batch,82,15484
load_predict_batch,83,15428
load_predict_batch,84,9898
load_predict_batch,85,16604
load_predict_batch,86,7886
load_predict_batch,87,18275
load_predict_batch,88,15428
load_predict_batch,89,7616
load_predict_batch,90,16151
load_predict_batch,91,6018
load_predict_batch,92,15239
load_predict_batch,93,9189
load_predict_batch,94,16187
load_predict_batch,95,8289
load_predict_batch,96,16579
load_predict_batch,97,9674
load_predict_batch,98,16219
