event,occurrence,microseconds
dataset_materialize,1,1394
dataset_prepare,1,3148
load_predict_batch,1,8022
load_predict_batch,2,4762
load_predict_batch,3,11102
load_predict_batch,4,11267
load_predict_batch,5,9917
load_predict_batch,6,5245
load_predict_batch,7,6824
load_predict_batch,8,8097
load_predict_batch,9,8746
load_predict_batch,10,15504
load_predict_batch,11,8669
load_predict_batch,12,16618
load_predict_batch,13,8681
load_predict_batch,14,15040
load_predict_batch,15,8573
load_predict_batch,16,15127
load_predict_batch,17,8082
load_predict_batch,18,9992
load_predict_batch,19,11252
load_predict_batch,20,8770
load_predict_batch,21,13068
load_predict_batch,22,8431
load_predict_batch,23,14467
load_predict_batch,24,8448
load_predict_batch,25,13961
load_predict_batch,26,8418
load_predict_batch,27,15327
load_predict_batch,28,8409
load_predict_batch,29,14481
load_predict_batch,30,11826
load_predict_batch,31,17165
load_predict_batch,32,5939
load_predict_batch,33,12912
load_predict_batch,34,10183
load_predict_batch,35,8557
load_predict_batch,36,13285
load_predict_batch,37,8636
load_predict_batch,38,14362
load_predict_batch,39,8730
load_predict_batch,40,15086
load_predict_batch,41,8593
load_predict_batch,42,13941
load_predict_batch,43,8801
load_predict_batch,44,13812
load_predict_batch,45,8567
load_predict_batch,46,17536
load_predict_batch,47,8624
load_predict_batch,48,13877
load_predict_batch,49,8647
load_predict_batch,50,16583
load_predict_batch,51,8649
load_predict_batch,52,15448
load_predict_batch,53,9012
load_predict_batch,54,15200
load_predict_batch,55,8765
load_predict_batch,56,16699
load_predict_batch,57,8596
load_predict_batch,58,15560
load_predict_batch,59,8982
load_predict_batch,60,15025
load_predict_batch,61,8565
load_predict_batch,62,13791
load_predict_batch,63,13765
load_predict_batch,64,9033
load_predict_batch,65,14512
load_predict_batch,66,13126
load_predict_batch,67,8972
load_predict_batch,68,15088
load_predict_batch,69,8900
load_predict_batch,70,15026
load_predict_batch,71,5370
load_predict_batch,72,10984
load_predict_batch,73,5471
load_predict_batch,74,10797
load_predict_batch,75,7697
load_predict_batch,76,12769
load_predict_batch,77,8190
load_predict_batch,78,13156
load_predict_batch,79,13022
load_predict_batch,80,8543
load_predict_batch,81,15108
load_predict_batch,82,14499
load_predict_batch,83,8556
load_predict_batch,84,8527
load_predict_batch,85,14043
load_predict_batch,86,13841
load_predict_batch,87,9376
load_predict_batch,88,15538
load_predict_batch,89,8586
load_predict_batch,90,16159
load_predict_batch,91,14579
load_predict_batch,92,8652
load_predict_batch,93,11884
load_predict_batch,94,5392
load_predict_batch,95,11074
load_predict_batch,96,5309
load_predict_batch,97,9372
load_predict_batch,98,14692
load_predict_batch,99,8760
load_predict_batch,100,21548
load_predict_batch,101,6186
load_predict_batch,102,6209
load_predict_batch,103,12817
load_predict_batch,104,8242
load_predict_batch,105,13811
load_predict_batch,106,9185
load_predict_batch,107,12338
load_predict_batch,108,9429
load_predict_batch,109,12000
load_predict_batch,110,11013
load_predict_batch,111,14666
load_predict_batch,112,7695
load_predict_batch,113,8037
load_predict_batch,114,12528
load_predict_batch,115,11433
load_predict_batch,116,8549
load_predict_batch,117,13009
load_predict_batch,118,9120
load_predict_batch,119,15140
load_predict_batch,120,12199
load_predict_batch,121,8774
load_predict_batch,122,13924
load_predict_batch,123,9079
load_predict_batch,124,14703
load_predict_batch,125,8873
load_predict_batch,126,14370
load_predict_batch,127,8747
load_predict_batch,128,15321
load_predict_batch,129,8490
load_predict_batch,130,14144
load_predict_batch,131,8810
load_predict_batch,132,16553
load_predict_batch,133,13232
load_predict_batch,134,8556
load_predict_batch,135,14470
load_predict_batch,136,8790
load_predict_batch,137,14926
load_predict_batch,138,8914
load_predict_batch,139,14561
load_predict_batch,140,13223
load_predict_batch,141,8540
load_predict_batch,142,14279
load_predict_batch,143,8763
load_predict_batch,144,15665
load_predict_batch,145,9164
load_predict_batch,146,14998
load_predict_batch,147,12971
load_predict_batch,148,9083
load_predict_batch,149,14466
load_predict_batch,150,8524
load_predict_batch,151,14122
load_predict_batch,152,8788
load_predict_batch,153,14876
load_predict_batch,154,8977
load_predict_batch,155,15741
load_predict_batch,156,8596
load_predict_batch,157,14302
load_predict_batch,158,8466
load_predict_batch,159,16013
load_predict_batch,160,8764
load_predict_batch,161,14831
load_predict_batch,162,8372
load_predict_batch,163,17460
load_predict_batch,164,8505
load_predict_batch,165,15526
load_predict_batch,166,8793
load_predict_batch,167,15725
load_predict_batch,168,8678
